profile,threads,iterations_per_thread,total_ops,work,mode,run,exit_code,wall_seconds,max_rss_kb,user_seconds,sys_seconds,target_elapsed_ns,bench_status,generated,consumed,dropped,loss_ppm,trace_integrity,stream_gaps,tainted_streams,total_violations
sync_heavy,8,50000,400000,0,baseline,6,0,0.03,1792,0.05,0.12,33724519,PASS,,,,,,,,
sync_heavy,8,50000,400000,0,baseline,7,0,0.04,1920,0.05,0.14,36843311,PASS,,,,,,,,
sync_heavy,8,50000,400000,0,monitor,7,0,0.27,1920,0.7,0.85,268279627,PASS,1200016,1200016,0,0,COMPLETE,0,0,0
sync_heavy,8,50000,400000,0,monitor,8,0,0.28,1920,0.69,0.88,273876706,PASS,1200016,1200016,0,0,COMPLETE,0,0,0
sync_heavy,8,50000,400000,0,baseline,8,0,0.03,1792,0.02,0.16,36098817,PASS,,,,,,,,
sync_heavy,8,50000,400000,0,baseline,9,0,0.03,1792,0.04,0.12,32951286,PASS,,,,,,,,
sync_heavy,8,50000,400000,0,monitor,9,0,0.27,1920,0.63,0.92,267238893,PASS,1200016,1200016,0,0,COMPLETE,0,0,0
sync_heavy,8,50000,400000,0,monitor,10,0,0.27,1920,0.7,0.84,266452218,PASS,1200016,1200016,0,0,COMPLETE,0,0,0
sync_heavy,8,50000,400000,0,baseline,10,0,0.04,1792,0.07,0.12,37818806,PASS,,,,,,,,
sync_heavy,16,25000,400000,0,baseline,1,0,0.04,1792,0.04,0.41,37717555,PASS,,,,,,,,
sync_heavy,16,25000,400000,0,monitor,1,0,0.29,2048,0.7,2.57,287411615,PASS,1200032,1200032,0,0,COMPLETE,0,0,0
sync_heavy,16,25000,400000,0,monitor,2,0,0.29,2560,0.73,2.3,278764130,PASS,1200032,1200032,0,0,COMPLETE,0,0,0
sync_heavy,16,25000,400000,0,baseline,2,0,0.04,1792,0.02,0.43,38760388,PASS,,,,,,,,
sync_heavy,16,25000,400000,0,baseline,3,0,0.04,1792,0.07,0.36,39105200,PASS,,,,,,,,
sync_heavy,16,25000,400000,0,monitor,3,0,0.29,2176,0.74,2.54,281272461,PASS,1200032,1200032,0,0,COMPLETE,0,0,0
sync_heavy,16,25000,400000,0,monitor,4,0,0.29,2176,0.7,2.53,283706019,PASS,1200032,1200032,0,0,COMPLETE,0,0,0
sync_heavy,16,25000,400000,0,baseline,4,0,0.04,1792,0.04,0.44,39158750,PASS,,,,,,,,
sync_heavy,16,25000,400000,0,baseline,5,0,0.04,1792,0.07,0.38,36924904,PASS,,,,,,,,
sync_heavy,16,25000,400000,0,monitor,5,0,0.29,2048,0.77,2.51,282306917,PASS,1200032,1200032,0,0,COMPLETE,0,0,0
sync_heavy,16,25000,400000,0,monitor,6,0,0.29,2176,0.83,2.34,285950170,PASS,1200032,1200032,0,0,COMPLETE,0,0,0
sync_heavy,16,25000,400000,0,baseline,6,0,0.04,1792,0.03,0.4,35450607,PASS,,,,,,,,
sync_heavy,16,25000,400000,0,baseline,7,0,0.04,1792,0.08,0.37,37960018,PASS,,,,,,,,
sync_heavy,16,25000,400000,0,monitor,7,0,0.29,2176,0.67,1.88,275857129,PASS,1200032,1154330,45702,38083,DEGRADED,46,13,0
